Topic,BM25,JM_LM,MY_PRM
R101,2.23752394519728,2.23752394519728,2.8506711379627383
R102,2.1056963016513954,2.4412107161212013,2.7188434944168542
R103,0.9199945798893454,1.265293082568772,1.6894546246997502
R104,3.9390296349847294,4.543559338088346,4.543559338088346
R105,4.156706530853804,3.35401881764699,3.543559338088346
R106,2.0616063116448506,1.9306765580733931,1.4306765580733931
R107,1.5,1.4306765580733931,1.5
R108,0.3333333333333333,0.3010299956639812,0.6759176335524295
R109,2.9518926943052493,3.263923995665121,2.4484591188793923
R110,1.2796353424232245,0.31546487678572877,1.6737365524159569
R111,0.0,0.0,0.0
R112,3.1095351003307012,3.1894546246997506,3.3046663059874146
R113,3.8676417045359166,3.5666117088719353,3.4671660104124484
R114,2.8770711884305795,2.9484591188793923,2.802601817465209
R115,0.9319597492354388,0.6309297535714575,0.43067655807339306
R116,2.4033786176311254,1.6223981596512211,1.7461414348591218
R117,1.9642630869047908,1.719741384391281,1.9306765580733931
R118,1.8175293653079347,1.4484591188793923,1.4484591188793923
R119,0.0,0.6487982101190621,0.3010299956639812
R120,1.0585248711282924,1.044089990006545,2.2332783755386014
R121,2.9484591188793923,3.464084569895891,3.152145889803314
R122,1.972702059557732,2.238893032100931,1.972702059557732
R123,0.7890648263178879,0.6309297535714575,1.2890648263178879
R124,1.3868528072345416,2.2762017669973673,1.2461414348591218
R125,3.5114345174278943,3.23752394519728,3.6201311827731435
R126,2.439927524959156,1.8774233233398783,1.8769785671632844
R127,0.9498282057830434,0.9727020595577323,2.666136014748467
R128,0.6309297535714575,0.6309297535714575,0.2890648263178879
R129,3.637999639320748,3.6201311827731435,3.552988821983009
R130,2.1309297535714578,2.0616063116448506,1.3739897479140213
R131,0.3562071871080222,0.6343633289973145,1.3333333333333333
R132,1.7817924522127255,1.5585248711282924,2.1309297535714578
R133,1.3541047133885955,1.55435790888666,1.6878828028985229
R134,0.9306765580733931,0.9871369406794797,0.31546487678572877
R135,1.0352062611770096,1.8060353928910655,0.5900948219818691
R136,1.7890648263178879,1.7317065537373744,2.0650398870707076
R137,1.3739897479140213,1.4484591188793923,2.1309297535714578
R138,1.8868528072345416,2.394939644978184,1.2762017669973675
R139,1.9642630869047908,1.5,2.1309297535714578
R140,2.5070698857492903,2.474766548079938,3.6201311827731435
R141,2.1486196931101613,2.2103119004966176,4.543559338088346
R142,0.38685280723454163,0.3333333333333333,0.6223981596512211
R143,0.6895405204413555,0.5900948219818691,0.2890648263178879
R144,0.7201861405678749,0.7430599943425638,0.7023176840202704
R145,1.0,1.0,0.0
R146,0.43067655807339306,0.43067655807339306,1.0
R147,2.220186140567875,1.6572371827720034,2.2817924522127258
R148,1.6895405204413554,1.5900948219818691,0.3333333333333333
R149,1.2640098914067264,1.7201861405678749,0.7201861405678749
R150,1.1309297535714575,1.0177825608059992,1.1572371827720034
DCG@10,1.7314644023181265,1.7259162654843487,1.8141948878417355
