Topic,BM25,JM_LM,MY_PRM
R101,1.7940702235449721,2.8506711379627383,3.206878325070761
R102,2.4412107161212013,2.2023176840202705,1.891858204461626
R103,1.4212470741787298,1.0879137408453965,1.0616063116448506
R104,4.543559338088346,1.9671660104124487,0.9769476292164108
R105,4.156706530853804,2.3080998814132716,1.4769476292164108
R106,2.0177825608059994,1.0,1.2890648263178879
R107,1.0,1.0177825608059992,0.0
R108,0.38685280723454163,0.6164948724497099,0.0
R109,3.2409575206231374,3.4091960090910316,2.011434517427894
R110,0.0,2.431959749235439,2.2533279132226784
R111,0.0,0.0,0.0
R112,2.23752394519728,3.263923995665121,2.9484591188793923
R113,2.9785194510176387,2.6894546246997506,1.806847387123887
R114,2.4642630869047912,2.894939644978184,1.2797279636905197
R115,1.3333333333333333,0.5,0.2890648263178879
R116,3.070857278530614,0.0,0.0
R117,1.9463946303571862,1.64527201342591,1.3154648767857289
R118,1.6164948724497101,1.1309297535714575,1.0
R119,0.38685280723454163,0.31546487678572877,0.0
R120,1.0900948219818691,1.3154648767857289,1.0585248711282924
R121,2.8046663059874146,3.2817924522127258,3.105696301651396
R122,2.3698227856723886,2.862636307308832,1.4220590684115513
R123,0.6309297535714575,1.3154648767857289,0.0
R124,1.0177825608059992,1.4319597492354388,0.5
R125,3.4105650959946825,1.8225347625350188,0.9786053467592434
R126,1.9092819048326364,2.0257767772823465,3.8412416540680754
R127,0.719741384391281,0.671672063893751,0.0
R128,1.2890648263178879,0.3562071871080222,0.3010299956639812
R129,2.922059068411551,1.6665807709250613,0.0
R130,2.1309297535714578,1.8868528072345416,0.43067655807339306
R131,0.43067655807339306,0.8175293653079347,0.31546487678572877
R132,1.9199945798893454,0.7201861405678749,1.0177825608059992
R133,1.0650398870707076,1.3868528072345416,0.2890648263178879
R134,0.8175293653079347,1.0,0.9306765580733931
R135,0.9498282057830434,1.7890648263178879,4.210226004755013
R136,1.394939644978184,1.9319597492354388,0.3010299956639812
R137,1.3506711379627385,2.1309297535714578,1.0616063116448506
R138,2.288166936343461,1.3868528072345416,0.0
R139,1.4642630869047908,1.4306765580733931,0.43067655807339306
R140,0.8175293653079347,0.31546487678572877,0.43067655807339306
R141,2.85401881764699,2.707323081247355,0.6759176335524295
R142,0.7640098914067264,0.5,1.0
R143,0.2890648263178879,0.0,0.0
R144,0.2890648263178879,1.0207713800552622,0.0
R145,1.0,0.0,0.0
R146,2.238893032100931,0.9905705161053366,0.3333333333333333
R147,1.3562071871080221,0.0,0.0
R148,1.4642630869047908,0.5,2.5794747681924552
R149,1.0321248206604516,1.0212161362318561,0.5
R150,1.1309297535714575,1.2474246260211674,1.1309297535714575
DCG@10,1.6449755889534228,1.4173070362131888,0.9930464612795038
