,Measure,Comparison,T-Statistic,P-Value
0,MAP,BM25 vs JM_LM,2.2121748071674023,0.03164709329467342
1,MAP,BM25 vs MY_PRM,5.298383923800168,2.759589108033973e-06
2,MAP,JM_LM vs MY_PRM,4.786614208481291,1.601586436427226e-05
3,P@10,BM25 vs JM_LM,2.6733140449640356,0.010173836841440657
4,P@10,BM25 vs MY_PRM,4.014508571390456,0.00020384766756275215
5,P@10,JM_LM vs MY_PRM,2.9025095010195527,0.005534119605401916
6,DCG@10,BM25 vs JM_LM,1.6948665343610825,0.09644780681856197
7,DCG@10,BM25 vs MY_PRM,3.583766482146596,0.0007780328914182507
8,DCG@10,JM_LM vs MY_PRM,3.367757210627324,0.0014824814351546553
